compounds,ACID-1,ACID-2,ACID-3,ACID-4,FA-1,FA-2,FA-3,FA-4,SDCK20191014-1,SDCK20191014-10,SDCK20191014-11,SDCK20191014-12,SDCK20191014-2,SDCK20191014-3,SDCK20191014-4,SDCK20191014-5,SDCK20191014-6,SDCK20191014-7,SDCK20191014-8,SDCK20191014-9,SDCK20191015-1,SDCK20191015-10,SDCK20191015-11,SDCK20191015-12,SDCK20191015-2,SDCK20191015-3,SDCK20191015-4,SDCK20191015-5,SDCK20191015-6,SDCK20191015-7,SDCK20191015-8,SDCK20191015-9,SDCK20191016-10,SDCK20191016-11,SDCK20191016-12,SDCK20191016-3,SDCK20191016-4,SDCK20191016-5,SDCK20191016-6,SDCK20191016-7,SDCK20191016-8,SDCK20191016-9,SDCK20191017-1,SDCK20191017-10,SDCK20191017-11,SDCK20191017-12,SDCK20191017-2,SDCK20191017-3,SDCK20191017-4,SDCK20191017-5,SDCK20191017-6,SDCK20191017-7,SDCK20191017-8,SDCK20191017-9,SDCK20191018-1,SDCK20191018-10,SDCK20191018-11,SDCK20191018-12,SDCK20191018-2,SDCK20191018-3,SDCK20191018-4,SDCK20191018-5,SDCK20191018-6,SDCK20191018-7,SDCK20191018-8,SDCK20191018-9,SDCK20191019-1,SDCK20191019-10,SDCK20191019-11,SDCK20191019-12,SDCK20191019-3,SDCK20191019-4,SDCK20191019-5,SDCK20191019-6,SDCK20191019-7,SDCK20191019-8,SDCK20191019-9
Lauric acid-D23,42291140,43187936,37416773,35042568,12622153,22157805,27285252,14739151,4541119,8794905,11856979,12954719,17006746,16276749,606040,19311736,13120311,11588084,13036752,11992553,12483643,14495831,8170840,14298299,11844595,10412090,12343923,10018058,9997104,11775315,14675918,12474191,12330457,11672531,10789691,13718353,11036110,7360128,13409651,14182080,13012291,9811687,12386635,11144839,11423509,11676391,12205475,11347101,12195385,12207779,11689670,11817145,8889912,8338331,11618928,11877635,12108100,10311688,11844337,8756033,5042858,472730,14034146,11399517,12078196,15380797,11666202,11608981,11198329,13545834,11351398,8376571,13526360,13249033,10639736,11154200,10793833
Hexadecanoic acid-D31,40590799,39597041,41623930,38069951,18149631,30392173,32879745,16549859,6254299,12448707,17374666,18386304,23750161,23080280,924086,28339004,18836220,17604168,19275133,17899919,17946472,21677522,11088445,20058238,17094785,14512005,17551205,14803726,13747168,18127528,20644791,18512574,17575565,17483306,15270961,19925220,15719991,10758067,18524520,19868453,19350172,13636559,17958346,16802062,16991801,17073693,17146024,16973322,17539185,17677853,17062508,17232966,12091846,12213916,17309542,17112290,17572572,15529709,17196258,13444525,7729388,1199427,20355132,16282857,18033293,22462823,16628789,16172349,16359145,19333365,16171873,12755701,18958821,19463634,15677772,16076141,16250422
Hentricontanioc acid-D31,15478765,15077758,17368524,14397715,3852433,10566441,12573480,7455377,3048033,9657419,15021089,16065677,18317876,16900499,257266,21735073,13665182,12747684,14314967,13501412,14274840,17857610,8796106,16714886,13495978,9667188,14310421,12065314,10799257,14473907,16969511,14153407,14600114,14567682,12919121,16621580,12839894,8389047,15390674,16737538,15587109,10371067,15085190,13857836,14280015,14283426,14856503,13642176,14429571,14702153,14927389,14841730,9252404,10088983,14298572,14539369,14471263,12874717,14590778,10705869,5690725,4163937,16805485,12915871,14554630,19216882,13772713,13114421,12932357,16739363,12599284,10369906,16233801,16370517,13095500,12924283,12235154
"Phthalic acid 3,4,56-D4",72152542,20055158,75298479,67735955,31810194,53996684,51073501,26556692,408100,1423383,142167,1821565,1311192,2210816,68523,2044107,2932283,2006647,1905724,6312809,10203557,2094807,2423559,8647704,6337815,5899686,11419619,10229758,6101922,12708364,3898312,11340718,10089331,9124859,10838115,8723137,5772186,2404235,12245217,11789321,12523070,3432809,10215183,16441776,16439034,16521022,6534087,17264434,11094140,17230321,17989755,17468513,9630582,12839358,12569861,14683736,15489790,11166287,15619859,10652825,6156241,573980,17847225,14841665,14921552,20607333,9526248,9543089,8919933,15042796,9791456,9944097,9273710,13045196,11464270,10749593,13146582
Nonanoic acid,0,0,0,0,0,0,0,0,4667737,14777587,12420109,16875065,17867431,15476070,1107137,20344692,18429251,16707800,17301379,18927172,13788070,22600636,8141222,22016052,14662728,7458210,13717442,14335349,13972036,14515771,22950056,19627935,20719097,20889801,16878709,17538536,16583297,5076126,16604464,21259765,15711748,11255427,18070643,4545143,6988234,5268157,13943916,1535808,1807547,1434222,1699225,1888101,1206133,1026874,8709832,3772498,3195707,2745260,6220327,4351737,3737164,386314,5561182,1826248,1657734,2392888,3000910,1841823,1119326,2017906,8643527,8946742,11288574,15004876,1121427,1223265,720582
Decanoic acid,0,0,0,0,0,0,0,0,1023474,3701762,2798499,4212577,4898622,3828862,91798,6038164,4500850,3847634,4029531,4564557,3045370,5141070,1520391,4796372,3576821,1965041,3339976,3438122,3488902,3826734,5745033,4427415,5157264,4448128,3394742,3839320,3408271,1029164,3582303,4470941,3635899,2218995,3798038,1895629,2639070,2520767,2924938,748310,802556,587266,571252,579660,522392,520325,2231052,770061,858552,601095,2171027,1418944,926063,68092,2141706,778998,556585,798763,816487,428229,269134,432653,1894198,1839946,2014613,3407142,326152,381193,212845
Undecanoic acid,0,0,0,0,0,288496,0,0,300908,20523,2179512,2144736,47414,25231,0,73092,37874,36805,42682,41618,105962,494132,305200,856951,181438,19008,69097,74906,31632,87650,110603,131886,518070,279362,740215,210960,168807,70882,154104,143444,121759,68028,352015,378785,881282,1606804,279161,109337,118966,80530,141470,113953,62457,64219,188097,395302,1427003,588908,167931,101823,36393,370,134314,41463,91761,146509,440927,462034,609732,1523196,99260,115918,84120,115577,47301,68571,38375
Dodecanoic acid,0,92194,173569,0,1771680,6955279,14028198,15362193,1421472,4748942,3614560,5095613,5649745,4594860,30924,6169764,4466304,4299667,4547030,5343634,3859835,6032864,1750045,5414810,4525516,2614834,3992923,4134975,3639759,4532326,5948960,4862296,4941481,4868313,3835805,5045764,4216043,1494940,4318620,4873249,3991971,2584086,4738691,4314739,3781741,4117639,3448338,2528087,3026124,2782871,2763306,2818637,2033173,2003124,2622965,3236322,2474958,2819854,2780014,1864365,1109991,281919,4090383,1378725,2874550,3780382,3361621,904511,730482,824636,2529351,2531625,2118941,3784911,879802,643382,642498
Tridecanoic acid,0,0,0,0,0,0,0,0,196449,815021,643591,963189,985912,837497,1739,1436679,864566,842999,897655,1065556,804901,1446449,339174,1252034,1010666,507060,857727,962682,842580,1123773,1429177,1278105,1345687,1301942,1031371,1197136,1096754,230351,1179522,1338218,1187043,747806,1070492,1111273,880656,966564,746145,597782,708980,771539,843046,837348,607835,616255,738325,1047008,712249,1034586,743850,476909,222532,14433,885615,363762,924763,1250651,991205,275224,311955,322515,588528,595239,533718,1097089,289405,78484,156451
Tetradecanoic acid,0,0,38165,123236,1260645,6046313,14095867,15111782,1533572,6515063,4906014,7026863,7551678,6509013,265338,8737736,5712136,5355678,6290480,7801240,5569483,8863322,2586889,7762557,5985004,3737121,5677172,6138511,5546120,7212832,9401202,8148768,7086127,6673489,5594063,6919984,5741360,2243827,6520268,7716042,6055882,3585356,5843773,6625890,5568583,6035044,4476723,4316021,4958972,4497444,5487419,5488769,3936113,3459561,3964019,6055360,3474369,4534572,3866198,2482096,1461079,262192,6116422,2210143,6522432,7546443,5960590,1227545,931620,1694398,3593372,3586189,2976643,5148221,971428,833369,898992
