[Header Info Signal 1 COLT 3.0]
"ACID-1.D"," ","C:\Precess Data\2019出口数据\",[GC],0
20 May 2021   9:39    ,SIM-PAHS.M,10
"ACID-1"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"ACID-1.D"," ","C:\Precess Data\2019出口数据\"
20 May 2021   9:39    ,SIM-PAHS.M,10
"ACID-1"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",42291140,19.352,0.00
"Hexadecanoic acid-D31",40590799,27.921,0.00
"Hentricontanioc acid-D31",15478765,38.241,0.00
"Phthalic acid 3,4,56-D4",72152542,18.071,0.00
"Nonanoic acid",0,0.000,0.00
"Decanoic acid",0,0.000,0.00
"Undecanoic acid",0,0.000,0.00
"Dodecanoic acid",0,0.000,0.00
"Tridecanoic acid",0,0.000,0.00
"Tetradecanoic acid",0,0.000,0.00
"Pentadecanoic acid ",0,0.000,0.00
"Hexadecanoic acid",0,0.000,0.00
"Heptadecanoic acid",0,0.000,0.00
"Octadecanoic acid",684502,32.235,0.00
"Nonadecanoic acid",0,0.000,0.00
"Eicosanoic acid",0,0.000,0.00
"Heneicosanoic acid",0,0.000,0.00
"Docosanoic acid",0,0.000,0.00
"Tricosanoic acid",0,0.000,0.00
"Tetracosanoic acid",0,0.000,0.00
"Pentacosanoic acid",0,0.000,0.00
"Hexacosanoic acid",0,0.000,0.00
"Heptacosanoic acid",0,0.000,0.00
"Octacosanoic acid",0,0.000,0.00
"Nonacosanoic acid",0,0.000,0.00
"Triacontanoic acid",0,0.000,0.00
"Henriacontanoic acid",0,0.000,0.00
"Dotriacontanoic acid",0,0.000,0.00
"9-Hexadecenoic acid",0,0.000,0.00
"trans-9-Octadecenoic acid",0,0.000,0.00
"cis-9-Octadecenoic acid",0,0.000,0.00
"9,12-Octadecanedienoic acid",0,0.000,0.00
"Hexadecanamide",0,0.000,0.00
"9-Octdecenamide",0,0.000,0.00
"Octadecanamide",0,0.000,0.00
"Butanedioic Acid",2232356,6.963,0.00
"Pentanedioic Acid",0,0.000,0.00
"Hexanedioic Acid",0,0.000,0.00
"Heptanedioic Acid",0,0.000,0.00
"Octanedioic Acid",0,0.000,0.00
"Nonanedioic Acid",0,0.000,0.00
"Decanedioic acid",0,0.000,0.00
"Benzoic acid",1681490,8.747,0.00
"m-Toluic acid",0,0.000,0.00
"p-Toluic acid",0,0.000,0.00
"1,2-Phthalic acid",4723588,18.104,0.00
"1,4-Phthalic acid",0,0.000,0.00
"1,3-Phthalic acid",139308,19.515,0.00
"4-Methoxybenzoic acid",0,0.000,0.00
"3,4-Dimethoxy benzoic acid",3367455,21.539,0.00
"4-methyl-1,2-phthalic acid",1559958,20.982,0.00
"1,2,4-Benzenetricarboxylic ",0,0.000,0.00
"1,3,5-Benzenetricarboxylic",2786716,28.271,0.00
"1,2,4,5-Benzenetetracarboxy",730445,32.800,0.00
"7-Oxodehydroabietic acid",0,0.000,0.00
"Benz(de)anthracen-7-one",8636,38.259,0.00
