[Header Info Signal 1 COLT 3.0]
"ACID-4.D"," ","C:\Precess Data\2019出口数据\",[GC],0
20 May 2021  13:20    ,SIM-PAHS.M,13
"ACID-4"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"ACID-4.D"," ","C:\Precess Data\2019出口数据\"
20 May 2021  13:20    ,SIM-PAHS.M,13
"ACID-4"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",35042568,19.356,0.00
"Hexadecanoic acid-D31",38069951,27.921,0.00
"Hentricontanioc acid-D31",14397715,38.223,0.00
"Phthalic acid 3,4,56-D4",67735955,18.071,0.00
"Nonanoic acid",0,0.000,0.00
"Decanoic acid",0,0.000,0.00
"Undecanoic acid",0,0.000,0.00
"Dodecanoic acid",0,0.000,0.00
"Tridecanoic acid",0,0.000,0.00
"Tetradecanoic acid",123236,24.276,0.00
"Pentadecanoic acid ",0,0.000,0.00
"Hexadecanoic acid",0,0.000,0.00
"Heptadecanoic acid",0,0.000,0.00
"Octadecanoic acid",23378356,32.136,0.00
"Nonadecanoic acid",0,0.000,0.00
"Eicosanoic acid",0,0.000,0.00
"Heneicosanoic acid",0,0.000,0.00
"Docosanoic acid",0,0.000,0.00
"Tricosanoic acid",0,0.000,0.00
"Tetracosanoic acid",0,0.000,0.00
"Pentacosanoic acid",0,0.000,0.00
"Hexacosanoic acid",0,0.000,0.00
"Heptacosanoic acid",0,0.000,0.00
"Octacosanoic acid",0,0.000,0.00
"Nonacosanoic acid",0,0.000,0.00
"Triacontanoic acid",0,0.000,0.00
"Henriacontanoic acid",0,0.000,0.00
"Dotriacontanoic acid",0,0.000,0.00
"9-Hexadecenoic acid",0,0.000,0.00
"trans-9-Octadecenoic acid",0,0.000,0.00
"cis-9-Octadecenoic acid",0,0.000,0.00
"9,12-Octadecanedienoic acid",0,0.000,0.00
"Hexadecanamide",0,0.000,0.00
"9-Octdecenamide",0,0.000,0.00
"Octadecanamide",129984,36.587,0.00
"Butanedioic Acid",25456803,6.947,0.00
"Pentanedioic Acid",11936667,9.898,0.00
"Hexanedioic Acid",4759675,12.715,0.00
"Heptanedioic Acid",5909195,15.363,0.00
"Octanedioic Acid",3385445,17.909,0.00
"Nonanedioic Acid",5331421,20.342,0.00
"Decanedioic acid",3396893,22.637,0.00
"Benzoic acid",17045755,8.633,0.00
"m-Toluic acid",24320970,11.601,0.00
"p-Toluic acid",30674252,11.828,0.00
"1,2-Phthalic acid",43026644,18.104,0.00
"1,4-Phthalic acid",3357809,19.255,0.00
"1,3-Phthalic acid",27669979,19.515,0.00
"4-Methoxybenzoic acid",39357493,16.109,0.00
"3,4-Dimethoxy benzoic acid",46132357,21.380,0.00
"4-methyl-1,2-phthalic acid",50981562,20.886,0.00
"1,2,4-Benzenetricarboxylic ",30723155,26.759,0.00
"1,3,5-Benzenetricarboxylic",41428699,28.127,0.00
"1,2,4,5-Benzenetetracarboxy",29871810,32.617,0.00
"7-Oxodehydroabietic acid",28729,39.609,0.00
"Benz(de)anthracen-7-one",16428,38.241,0.00
