[Header Info Signal 1 COLT 3.0]
"FA-1.D"," ","C:\Precess Data\2019出口数据\",[GC],0
20 May 2021  18:14    ,SIM-PAHS.M,17
"FA-1"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"FA-1.D"," ","C:\Precess Data\2019出口数据\"
20 May 2021  18:14    ,SIM-PAHS.M,17
"FA-1"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",12622153,19.369,0.00
"Hexadecanoic acid-D31",18149631,27.921,0.00
"Hentricontanioc acid-D31",3852433,38.241,0.00
"Phthalic acid 3,4,56-D4",31810194,18.071,0.00
"Nonanoic acid",0,0.000,0.00
"Decanoic acid",0,0.000,0.00
"Undecanoic acid",0,0.000,0.00
"Dodecanoic acid",1771680,19.807,0.00
"Tridecanoic acid",0,0.000,0.00
"Tetradecanoic acid",1260645,24.372,0.00
"Pentadecanoic acid ",0,0.000,0.00
"Hexadecanoic acid",7516933,28.398,0.00
"Heptadecanoic acid",0,0.000,0.00
"Octadecanoic acid",3768718,32.169,0.00
"Nonadecanoic acid",0,0.000,0.00
"Eicosanoic acid",310382,35.640,0.00
"Heneicosanoic acid",0,0.000,0.00
"Docosanoic acid",170092,38.807,0.00
"Tricosanoic acid",0,0.000,0.00
"Tetracosanoic acid",0,0.000,0.00
"Pentacosanoic acid",0,0.000,0.00
"Hexacosanoic acid",0,0.000,0.00
"Heptacosanoic acid",0,0.000,0.00
"Octacosanoic acid",0,0.000,0.00
"Nonacosanoic acid",0,0.000,0.00
"Triacontanoic acid",0,0.000,0.00
"Henriacontanoic acid",0,0.000,0.00
"Dotriacontanoic acid",0,0.000,0.00
"9-Hexadecenoic acid",977723,28.398,0.00
"trans-9-Octadecenoic acid",0,0.000,0.00
"cis-9-Octadecenoic acid",0,0.000,0.00
"9,12-Octadecanedienoic acid",0,0.000,0.00
"Hexadecanamide",0,0.000,0.00
"9-Octdecenamide",25303,36.089,0.00
"Octadecanamide",25101,36.504,0.00
"Butanedioic Acid",37424,7.012,0.00
"Pentanedioic Acid",0,0.000,0.00
"Hexanedioic Acid",0,0.000,0.00
"Heptanedioic Acid",0,0.000,0.00
"Octanedioic Acid",0,0.000,0.00
"Nonanedioic Acid",0,0.000,0.00
"Decanedioic acid",0,0.000,0.00
"Benzoic acid",0,0.000,0.00
"m-Toluic acid",0,0.000,0.00
"p-Toluic acid",0,0.000,0.00
"1,2-Phthalic acid",55558,18.104,0.00
"1,4-Phthalic acid",0,0.000,0.00
"1,3-Phthalic acid",3967,19.515,0.00
"4-Methoxybenzoic acid",25903,15.813,0.00
"3,4-Dimethoxy benzoic acid",0,0.000,0.00
"4-methyl-1,2-phthalic acid",24882,20.934,0.00
"1,2,4-Benzenetricarboxylic ",0,0.000,0.00
"1,3,5-Benzenetricarboxylic",870,28.128,0.00
"1,2,4,5-Benzenetetracarboxy",0,0.000,0.00
"7-Oxodehydroabietic acid",0,0.000,0.00
"Benz(de)anthracen-7-one",5495,38.168,0.00
