[Header Info Signal 1 COLT 3.0]
"SDCK20191018-2.D"," ","C:\Precess Data\2019出口数据\",[GC],0
23 May 2021   8:50    ,SIM-PAHS.M,25
"SDCK20191018-2"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191018-2.D"," ","C:\Precess Data\2019出口数据\"
23 May 2021   8:50    ,SIM-PAHS.M,25
"SDCK20191018-2"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",11844337,19.349,0.00
"Hexadecanoic acid-D31",17196258,27.915,0.00
"Hentricontanioc acid-D31",14590778,38.221,0.00
"Phthalic acid 3,4,56-D4",15619859,18.055,0.00
"Nonanoic acid",6220327,12.071,0.00
"Decanoic acid",2171027,14.747,0.00
"Undecanoic acid",167931,17.569,0.00
"Dodecanoic acid",2780014,19.742,0.00
"Tridecanoic acid",743850,22.048,0.00
"Tetradecanoic acid",3866198,24.260,0.00
"Pentadecanoic acid ",1308114,26.361,0.00
"Hexadecanoic acid",43407836,28.366,0.00
"Heptadecanoic acid",601226,30.292,0.00
"Octadecanoic acid",11666644,32.119,0.00
"Nonadecanoic acid",96360,33.880,0.00
"Eicosanoic acid",623695,35.574,0.00
"Heneicosanoic acid",132332,37.183,0.00
"Docosanoic acid",703915,38.788,0.00
"Tricosanoic acid",270603,40.266,0.00
"Tetracosanoic acid",669014,41.732,0.00
"Pentacosanoic acid",140396,43.099,0.00
"Hexacosanoic acid",251639,44.466,0.00
"Heptacosanoic acid",64868,45.764,0.00
"Octacosanoic acid",255523,47.029,0.00
"Nonacosanoic acid",40173,48.362,0.00
"Triacontanoic acid",175159,49.968,0.00
"Henriacontanoic acid",9926,51.933,0.00
"Dotriacontanoic acid",103174,54.130,0.00
"9-Hexadecenoic acid",5350105,28.366,0.00
"trans-9-Octadecenoic acid",3856814,31.621,0.00
"cis-9-Octadecenoic acid",417635,31.787,0.00
"9,12-Octadecanedienoic acid",1308493,31.654,0.00
"Hexadecanamide",429934,33.038,0.00
"9-Octdecenamide",550882,36.108,0.00
"Octadecanamide",292399,36.521,0.00
"Butanedioic Acid",6381862,6.931,0.00
"Pentanedioic Acid",655841,9.720,0.00
"Hexanedioic Acid",136483,12.704,0.00
"Heptanedioic Acid",49462,15.315,0.00
"Octanedioic Acid",45845,17.893,0.00
"Nonanedioic Acid",322761,20.325,0.00
"Decanedioic acid",47428,22.653,0.00
"Benzoic acid",1406236,8.601,0.00
"m-Toluic acid",408335,11.585,0.00
"p-Toluic acid",389605,11.812,0.00
"1,2-Phthalic acid",18546022,18.088,0.00
"1,4-Phthalic acid",2506313,19.190,0.00
"1,3-Phthalic acid",491658,19.515,0.00
"4-Methoxybenzoic acid",352534,16.109,0.00
"3,4-Dimethoxy benzoic acid",126786,21.380,0.00
"4-methyl-1,2-phthalic acid",3653370,20.886,0.00
"1,2,4-Benzenetricarboxylic ",2729180,26.743,0.00
"1,3,5-Benzenetricarboxylic",40380,28.128,0.00
"1,2,4,5-Benzenetetracarboxy",341858,32.601,0.00
"7-Oxodehydroabietic acid",108774,39.609,0.00
"Benz(de)anthracen-7-one",20137,38.223,0.00
