[Header Info Signal 1 COLT 3.0]
"SDCK20191018-3.D"," ","C:\Precess Data\2019出口数据\",[GC],0
23 May 2021  10:03    ,SIM-PAHS.M,26
"SDCK20191018-3"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Header Info Signal 2]
"SDCK20191018-3.D"," ","C:\Precess Data\2019出口数据\"
23 May 2021  10:03    ,SIM-PAHS.M,26
"SDCK20191018-3"," "," ","5975msd"
" "
"FAME",Tue Sep 28 22:13:47 2010

 , , , , , 
 , , , , , 
[Results - 20210529.RES]
"Lauric acid-D23",8756033,19.336,0.00
"Hexadecanoic acid-D31",13444525,27.913,0.00
"Hentricontanioc acid-D31",10705869,38.205,0.00
"Phthalic acid 3,4,56-D4",10652825,18.055,0.00
"Nonanoic acid",4351737,12.071,0.00
"Decanoic acid",1418944,14.747,0.00
"Undecanoic acid",101823,17.585,0.00
"Dodecanoic acid",1864365,19.742,0.00
"Tridecanoic acid",476909,22.064,0.00
"Tetradecanoic acid",2482096,24.260,0.00
"Pentadecanoic acid ",818441,26.361,0.00
"Hexadecanoic acid",26845327,28.367,0.00
"Heptadecanoic acid",339846,30.292,0.00
"Octadecanoic acid",7020604,32.119,0.00
"Nonadecanoic acid",61094,33.880,0.00
"Eicosanoic acid",309349,35.574,0.00
"Heneicosanoic acid",110378,37.183,0.00
"Docosanoic acid",352053,38.752,0.00
"Tricosanoic acid",144724,40.266,0.00
"Tetracosanoic acid",324147,41.715,0.00
"Pentacosanoic acid",86086,43.099,0.00
"Hexacosanoic acid",116425,44.449,0.00
"Heptacosanoic acid",42459,45.764,0.00
"Octacosanoic acid",132917,47.029,0.00
"Nonacosanoic acid",7058,48.516,0.00
"Triacontanoic acid",84893,49.968,0.00
"Henriacontanoic acid",7135,51.984,0.00
"Dotriacontanoic acid",50043,54.082,0.00
"9-Hexadecenoic acid",3339791,28.367,0.00
"trans-9-Octadecenoic acid",2761805,31.621,0.00
"cis-9-Octadecenoic acid",261924,31.754,0.00
"9,12-Octadecanedienoic acid",1013559,31.655,0.00
"Hexadecanamide",259491,33.033,0.00
"9-Octdecenamide",227190,36.089,0.00
"Octadecanamide",117147,36.517,0.00
"Butanedioic Acid",6431971,6.915,0.00
"Pentanedioic Acid",249336,9.817,0.00
"Hexanedioic Acid",289418,12.704,0.00
"Heptanedioic Acid",50959,15.331,0.00
"Octanedioic Acid",45433,17.909,0.00
"Nonanedioic Acid",344247,20.326,0.00
"Decanedioic acid",40999,22.621,0.00
"Benzoic acid",1528358,8.601,0.00
"m-Toluic acid",302722,11.617,0.00
"p-Toluic acid",249897,11.844,0.00
"1,2-Phthalic acid",13503302,18.088,0.00
"1,4-Phthalic acid",1608982,19.190,0.00
"1,3-Phthalic acid",424156,19.515,0.00
"4-Methoxybenzoic acid",260016,16.125,0.00
"3,4-Dimethoxy benzoic acid",85757,21.396,0.00
"4-methyl-1,2-phthalic acid",3212357,20.886,0.00
"1,2,4-Benzenetricarboxylic ",3222020,26.743,0.00
"1,3,5-Benzenetricarboxylic",64608,28.128,0.00
"1,2,4,5-Benzenetetracarboxy",622938,32.601,0.00
"7-Oxodehydroabietic acid",76038,39.573,0.00
"Benz(de)anthracen-7-one",9534,38.223,0.00
